county,month,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,indicator6_male,indicator6_female,indicator6_narrative,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
Isiolo,March,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Isiolo,April,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Isiolo,May,414,419,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,28,43,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Isiolo,June,283,278,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Isiolo,July,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Isiolo,August,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,74,17,0,0,0,0,Training of 91 BOM done in oldonyiro.,0,0,,0,0,0,0,0,0,0,0,
Isiolo,September,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Isiolo,October,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Isiolo,November,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Isiolo,December,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,January,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,February,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,March,560,534,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,27,56,0,0,0,0,,0,0,,1112,985,0,0,0,0,0,0,
Kajiado,April,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,May,987,939,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,910,2378,0,0,0,0,0,0,
Kajiado,June,1254,1112,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,July,227,954,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,426,368,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,August,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,623,489,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,September,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,October,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,November,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kajiado,December,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kilifi,January,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kilifi,February,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kilifi,March,400,357,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,32,32,0,0,0,0,,0,0,,160,628,0,0,0,0,0,0,
Kilifi,April,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kilifi,May,52,37,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,52,37,0,0,0,0,0,0,
Kilifi,June,2324,2233,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,92,207,0,0,0,0,0,0,
Kilifi,July,226,340,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,21,19,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
Kilifi,August,480,451,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,992,994,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,988,1273,0,0,0,0,0,0,
Kilifi,September,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,
